stationid,time,temperature,pressure,humidity,winddirection,windspeed,PM25,PM10,NO2,CO,O3,SO2
xizhimenbei_aq,2018-05-09 18:00:00,18.0,1009.8298750000001,32.75,160.005,5.0025,71.0,160.0,110.0,0.7,34.0,7.0
xizhimenbei_aq,2018-05-09 19:00:00,18.0,1009.616925,34.0,148.1825,3.8125000000000004,76.0,173.0,119.0,0.7,28.0,8.0
xizhimenbei_aq,2018-05-09 20:00:00,18.0,1009.6548750000001,36.0,119.0575,3.0250000000000004,77.0,153.0,132.0,0.8,15.0,8.0
xizhimenbei_aq,2018-05-09 21:00:00,18.8,1009.6592,36.5,99.42750000000001,2.925,66.0,137.0,137.0,0.7,2.0,6.0
xizhimenbei_aq,2018-05-09 22:00:00,16.75,1009.74265,36.0,106.6925,3.1475,78.0,168.0,144.0,1.0,2.0,6.0
xizhimenbei_aq,2018-05-09 23:00:00,18.25,1009.922325,34.0,98.1,3.6175,81.0,162.0,138.0,1.1,4.0,7.0
nansanhuan_aq,2018-05-09 18:00:00,17.5,1011.495725,33.5,191.935,7.7250000000000005,76.0,171.0,130.0,0.8,15.0,10.0
nansanhuan_aq,2018-05-09 19:00:00,17.5,1011.3196250000001,35.25,187.8725,6.2725,81.0,165.0,122.0,0.7,19.0,8.0
nansanhuan_aq,2018-05-09 20:00:00,17.5,1011.250675,37.0,175.07,4.62,88.0,165.0,121.0,0.8,16.0,7.0
nansanhuan_aq,2018-05-09 21:00:00,17.9,1011.276425,38.0,161.3825,3.565,98.0,174.0,120.0,0.9,12.0,7.0
nansanhuan_aq,2018-05-09 22:00:00,15.5,1011.253025,36.5,162.285,3.6225,106.0,198.0,134.0,1.1,2.0,8.0
nansanhuan_aq,2018-05-09 23:00:00,17.5,1011.712625,34.5,151.88,3.7024999999999997,97.0,222.0,142.0,1.3,2.0,11.0
dongsihuan_aq,2018-05-09 18:00:00,18.0,1012.409,32.0,155.37,6.362500000000001,69.0,182.0,161.0,0.8,2.0,16.0
dongsihuan_aq,2018-05-09 19:00:00,18.0,1012.3129999999999,34.0,147.8025,5.215,74.0,188.0,156.0,0.8,2.0,16.0
dongsihuan_aq,2018-05-09 20:00:00,18.0,1012.2275750000001,36.0,123.64500000000001,4.2475000000000005,83.0,177.0,150.0,0.9,2.0,16.0
dongsihuan_aq,2018-05-09 21:00:00,18.8,1012.2962500000001,36.5,112.37750000000001,3.9325,88.0,166.0,157.0,1.0,2.0,16.0
dongsihuan_aq,2018-05-09 22:00:00,16.25,1012.3213000000001,36.0,117.1025,4.0649999999999995,89.0,165.0,155.0,1.1,2.0,14.0
dongsihuan_aq,2018-05-09 23:00:00,17.5,1012.7068,33.75,115.1125,4.085,86.0,158.0,138.0,1.1,2.0,11.0
